"ID_aux";"CODIGO_UNIV";"CODIGO";"VIA";"PREFERENCIA";"PTJE_POND";"POND_ANYO_ACAD";"TIPO_MATRICULA"
"id_9788597878800";"14";14081;1;1;572,7;1;1
"id_9789597878980";"49";49010;1;1;544,75;1;1
"id_9789597878995";"49";49217;1;1;521,85;1;1
"id_9789597878993";"33";33069;1;1;629,95;1;1
"id_9789597878957";"51";51130;1;4;514;1;1
"id_9789597878973";"27";27005;1;1;562,7;1;1
"id_9789597878919";"50";50102;1;1;579,4;1;1
"id_9789597878912";"40";40010;1;1;632,25;1;1
"id_9789597878948";"30";30026;1;1;759,85;1;1
"id_9789597878947";"49";49306;1;1;528,8;1;1
"id_9789597878943";"13";13026;1;1;625,2;1;1
"id_9789597878925";"49";49304;1;3;485,05;1;1
"id_9789597878922";"12";12055;1;1;725,7;1;1
"id_9789597878936";"16";16101;1;1;688,8;1;1
"id_9789597878909";"53";53309;1;1;583,8;1;1
"id_9789597878907";"55";55037;1;11;445,85;1;2
"id_9789597878900";"11";11045;1;1;726,45;1;1
"id_9789597878906";"35";35005;1;1;784,75;1;1
"id_9789597878966";"16";16036;1;1;632,8;1;1
"id_9785597878584";"15";15141;1;2;629,1;1;1
"id_9785597878580";"18";18046;1;1;582,1;1;1
"id_9785597878593";"18";18057;1;1;570,3;1;1
"id_9785597878555";"13";13015;1;1;720,5;1;1
"id_9785597878550";"35";35061;1;1;701,5;1;1
"id_9785597878578";"41";41032;1;7;651,3;1;1
"id_9785597878513";"47";47003;1;1;687,5;1;1
"id_9785597878545";"55";55071;1;1;559,6;1;1
"id_9785597878523";"22";22083;1;1;548,7;1;1
"id_9785597878526";"24";24048;1;1;705,6;1;1
"id_9787597878786";"16";16098;1;1;653,1;1;1
"id_9787597878795";"38";38015;1;2;552,15;1;1
"id_9787597878797";"40";40030;1;2;581,65;1;1
"id_9787597878779";"30";30039;1;2;571,8;1;1
"id_9787597878729";"24";24088;1;2;665,85;1;1
"id_9787597878722";"22";22067;1;1;565,1;1;1
"id_9787597878737";"25";25052;1;1;590,85;1;1
"id_9787597878708";"37";37040;1;1;601,55;1;1
"id_9787597878709";"50";50119;1;7;579,3;1;1
"id_9787597878705";"14";14065;1;1;540,2;1;1
"id_9787597878760";"37";37011;1;1;648,15;1;1
"id_9781597878151";"14";14040;1;1;653,7;1;1
"id_9781597878171";"18";18040;1;1;504,5;1;1
